Wrestler ID,Division ID,School ID,Season,Weight,Place,Ordinal
358,1,121,1982,142,2,2nd
358,5,121,1980,142,1,1st
358,5,121,1981,142,1,1st
358,5,121,1982,142,1,1st
359,1,244,1980,142,5,5th
359,4,244,1977,134,4,4th
359,4,244,1978,142,5,5th
359,4,244,1979,142,1,1st
359,4,244,1980,142,1,1st
360,1,122,1980,142,6,6th
360,1,122,1981,142,3,3rd
360,6,122,1979,142,3,3rd
360,6,122,1980,142,3,3rd
360,6,122,1981,142,2,2nd
361,1,134,1980,142,7,7th
361,4,134,1978,142,6,6th
361,4,134,1979,142,5,5th
361,4,134,1980,142,4,4th
362,1,31,1980,142,8,8th
363,1,280,1978,142,2,2nd
363,1,280,1979,142,6,6th
363,1,280,1980,150,1,1st
363,5,280,1978,142,1,1st
363,5,280,1979,142,2,2nd
363,5,280,1980,150,1,1st
364,1,196,1978,150,6,6th
364,1,196,1980,150,2,2nd
365,1,121,1980,150,3,3rd
365,5,121,1980,150,2,2nd
366,1,192,1980,150,4,4th
366,1,192,1981,150,3,3rd
366,1,192,1982,150,3,3rd
366,1,192,1983,150,3,3rd
366,6,192,1980,150,2,2nd
366,6,192,1981,150,2,2nd
366,6,192,1982,150,3,3rd
366,6,192,1983,150,3,3rd
367,1,34,1980,150,5,5th
368,1,48,1980,150,6,6th
368,1,48,1981,150,4,4th
369,1,211,1980,150,7,7th
369,1,211,1983,142,7,7th
370,1,19,1980,150,8,8th
371,1,193,1979,158,7,7th
371,1,193,1980,158,1,1st
371,1,193,1981,158,1,1st
371,1,193,1982,158,3,3rd
371,6,193,1979,158,3,3rd
371,6,193,1980,158,1,1st
371,6,193,1981,158,2,2nd
371,6,193,1982,158,1,1st
372,1,165,1978,158,6,6th
372,1,165,1980,158,2,2nd
372,2,165,1977,158,2,2nd
372,2,165,1978,158,2,2nd
372,2,165,1979,167,5,5th
372,2,165,1980,158,1,1st
373,1,192,1980,158,3,3rd
373,1,192,1982,158,4,4th
373,6,192,1979,158,4,4th
373,6,192,1980,158,3,3rd
373,6,192,1982,158,2,2nd
374,1,122,1980,158,4,4th
374,6,122,1982,158,4,4th
375,1,155,1979,158,2,2nd
375,1,155,1980,158,5,5th
375,5,155,1978,158,2,2nd
375,5,155,1979,158,1,1st
375,5,155,1980,158,1,1st
376,1,280,1979,150,5,5th
376,1,280,1980,158,6,6th
376,5,280,1979,150,3,3rd
376,5,280,1980,158,4,4th
377,1,121,1980,158,7,7th
377,5,121,1978,158,3,3rd
377,5,121,1980,158,3,3rd
378,1,134,1980,158,8,8th
378,1,134,1981,158,7,7th
378,4,134,1980,158,1,1st
378,4,134,1981,158,4,4th
378,4,134,1983,167,2,2nd
378,4,134,1984,167,1,1st
379,1,176,1980,167,1,1st
379,1,176,1981,167,8,8th
380,1,122,1980,167,2,2nd
380,1,122,1981,167,4,4th
380,1,122,1982,177,4,4th
380,6,122,1980,167,1,1st
380,6,122,1981,167,1,1st
380,6,122,1982,177,2,2nd
380,6,122,1983,177,3,3rd
381,1,280,1979,158,3,3rd
381,1,280,1980,167,3,3rd
381,5,280,1978,167,2,2nd
381,5,280,1979,158,2,2nd
381,5,280,1980,167,1,1st
382,1,166,1980,167,4,4th
382,1,166,1982,167,3,3rd
382,1,166,1983,167,2,2nd
382,4,166,1980,167,1,1st
382,4,166,1981,167,5,5th
382,4,166,1982,167,1,1st
